"datID","datPos","patternName","simpleName","Source","Second Measurement?","Mass (g)","Relaxed Width (mm)","Relaxed Height (mm)","Stretched Width (mm)","Stretched Height (mm)","Note"
68,1,"100Upsweep_9c9d0d1fac974a8212750654369e20ee1ec550ed_out.chart","68_1_100Upsweep",SM,,4.01,105,87,173,103,"few dropped stitches"
68,2,"101Veeeees_0b426f1c7a653e47cd70d87eb31de967d9061c76_out.chart","68_2_101Veeeees",SM,,3.84,101,81,157,90,
68,3,"102Zig Zag_8c42ba1e9069bca66da3f7538a89fb5730d611bb_out.chart","68_3_102Zig Zag",SM,,3.89,95,74,153,74,
69,1,"103Zip Zag_ac09687dd0962287f1e2ef1939029bd9132bb209_out.chart","69_1_103Zip Zag",SM,,3.93,108,73,178,96,
69,2,"104BFF lace_463e0f67868d65250ae7b57504209ac734763204_out.chart","69_2_104BFF lace",SM,,3.93,104,80,170,101,"has an eyelet right on the frame edge which may collide with frame eyelet but should be okay.
Two sets of stretched photos, not sure which corresponds to measurement."
69,3,"105Big eyes_d31eb618d372ad7df1d317d2c0fcf2ab47ea4894_out.chart","69_3_105Big eyes",SM,,4.18,119,82,168,106,"1 dropped stitch"
70,1,"106Boxed in_05a93e034ded2fb22ff9c4a029c85427ab73fa59_out.chart","70_1_106Boxed in",SM,,4.20,100,82,168,102,
70,2,"107Brokkoli_c63adb18edfa7d7eca3959da9e98489e64443cf3_out.chart","70_2_107Brokkoli",SM,,4.03,102,78,173,107,
70,3,"108Burgundy_5fa21cf04b7282a1f73907b668abbae4f0f321ad_out.chart","70_3_108Burgundy",SM,,3.98,107,81,172,105,
71,1,"110Chevrons_595cdd4541f6235648d7bf8c2c0f01c8a8f1381b_out.chart","71_1_110Chevrons",SM,,4.00,94,77,151,112,
71,2,"111Diagonal_bb4a583a81c122d6f949a37115d8dffb2135abc0_out.chart","71_2_111Diagonal",SM,,4.18,92,87,182,104,
71,3,"112Diagonal_bf5d95ec065ab482fc34292ff3cc07a7f57c44e6_out.chart","71_3_112Diagonal",SM,,4.14,99,83,182,100,
